Qty,Value,Device,Package,Parts,Description,CURRENT,DCR,MFG_PN,POWER,TOL,VOLTAGE
1,,ABS25XTAL,4-SOJ,X1,4PIN 32.768 Xtal,,,ABS25-32.768KHZ-T,,,
1,,AO3435,SOT23_CPL,FET1,MOSFET P-CH 20V 2.9A SOT23,,,AO3435,,,
1,,ATTINY45TINY45-20-SMT,8-SOIC,MCU,Atmel 8-pin 2/4/8kB flash uC,,,ATTINY45-20SUR,,,
1,,AVR_SPI_PRG_6NS,2X3-NS,ISP,DIL VERTICAL PC TAIL PIN HEADER,,,M20-9980346,,,
1,,BAV99,SOT23_CPL,D1,DIODE ARRAY GP 100V 215MA SOT23,,,BAV99,215,,
2,,BK-92_MPD_AA_BATT_CLIP,BK92_AA_BATT,"JP5, JP6",Thru hole AA battery clip pair.,,,2 of BK92 - supplied by CL Labs,,,
1,,C&K_PTS645,C&K_PTS645_SMT,SW1,SWITCH TACTILE SPST-NO 0.05A 12V,,,PTS645SM43SMTR92 LFS,,,
3,,FIDUCIAL,FIDUCIAL_1MM,"MARK1, MARK2, MARK3",1mm fiducial.,,,DNP,,,
1,,JST_2PIN-SMT-RA,JST-B2B-PH-SM4-TB,SPKR_PLUG,JST 2-pin connector,,,B2B-PH-SM4-TB(LF)(SN),,,
2,,L_SMT_0805_ADAFRUIT,0805_ADAFRUIT,"FB2, FB3",SMT inductor,2A,45m,ERJ-6GEY0R00V,,,
1,,RV170SF_TAIWANA_POT_SW,RV170SF_SW_POT,R1,Thru hole switched potentiometer.,,,RV170SF-43-20F-A10K - supplied by CL Labs,,,
1,,SI4702-C19-GMR,SI470X_20_QFN,U1,IC FM RADIO TUNER 20-QFN,,,Si4702 C19 GM - supplied by CL Labs,,,
1,,TPA6203A1,8-MSOP,AMP,IC AMP AUDIO PWR 1.25W AB 8MSOP,,,TPA6203A1DGNR,,,
17,,TPTP20R,TP20R,"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, T17",Test pad,,,DNP,,,
3,.1uF,C_SMT_0603_CPL,0603_CPL,"C3, C23, C33",SMT capacitor,,,CL10B104KB8SFNC,,10%,16V
3,.22uF,C_SMT_0603_CPL,0603_CPL,"C20, C21, C22",SMT capacitor,,,C1608X7R1C224K080AC,,10%,16V
2,100K,R_SMT_R0603_CPL,0603_CPL,"R23, R24",SMT resistor,,,ERJ-3EKF1003V,1/10W,1%,
3,10K,R_SMT_R0603_CPL,0603_CPL,"R6, R20, R30",SMT resistor,,,ERJ-3GEYJ103V,1/10W,5%,
2,10uF,C_SMT_0603_CPL,0603_CPL,"C25, C32",SMT capacitor,,,CL10A106MQ8NNNC,,20%,6.3V
2,12K,R_SMT_R0603_CPL,0603_CPL,"R21, R22",SMT resistor,,,RC0603FR-0712KL,1/10W,1%,
1,180nH,L_SMT_0805_ADAFRUIT,0805_ADAFRUIT,L1,SMT inductor,400mA,640m,AISC-0805-R18J-T,,5%,
1,1K,R_SMT_R0603_CPL,0603_CPL,R31,SMT resistor,,,ERJ-3EKF1001V,1/10W,1%,
2,1uF,C_SMT_0603_CPL,0603_CPL,"C8, C24",SMT capacitor,,,CL10B105KP8NNNC,,10%,10V
2,2.2k@100MHz,L_SMT_0603_CPL,0603_CPL,"L02, L03",SMT inductor,150mA,2.3,HZ0603A222R-10,,,
1,220uF,NICHICON_SERIESUD,NICHICON_UD_63,C40,Nichicon UD Series 220uf Cap,,,UUD1C221MCL1GS,,20%,16V
2,22nF,C_SMT_0603_CPL,0603_CPL,"C1, C2",SMT capacitor,,,CL10B223KB8NNNC,,10%,16V
2,22pF,C_SMT_0603_CPL,0603_CPL,"C10, C11",SMT capacitor,,,C1608C0G1H220J080AA,,5%,50V
3,330,R_SMT_R0603_CPL,0603_CPL,"R2, R4, R5",SMT resistor,,,MCR03ERTJ331,1/10W,5%,
3,4.7K,R_SMT_R0603_CPL,0603_CPL,"R3, R7, R8",SMT resistor,,,ERJ-3EKF4701V,1/10W,1%,
1,47pF,C_SMT_0603_CPL,0603_CPL,C14,SMT capacitor,,,CL10C470JB8NCNC,,5%,50V
1,DNP,C_SMT_0603_CPL,0603_CPL,C5,SMT capacitor,,,DNP,,2%,50V
1,DNP,M3_SCREW_POST,M3_BOLT_HOLE,ANT_MOUNT,Antenna mounting hole for M3 screw.,,,DNP,,,
1,DNP,PR2023_SPKR,PR2023_SPKR_PLACE,SPKR_PLACE,Speaker placement for PR2023.,,,DNP,,,
1,,R_SMT_R0603_CPL,0603_CPL,R40,SMT resistor,,,ERJ-3GEY0R00V,,,
1,LED,LED,0603_CPL,LED,SMT LED,,,LY R976-PS-36,,,
