Part name,xpos,ypos,
AMP,36,8.1,
ANT_MOUNT,9.5,35,
C01,29.01,59.6,
C02,24.7,59.6,
C03,30.24,58.03,
C05,24.6,52.7,
C08,34.2,51.7,
C10,24.7,61.3,
C11,29,61.3,
C14,24.6,54,
C20,41.9,7.1,
C21,42.5,9.6,
C22,39.4,12.3,
C23,31.1,9.1,
C24,31.1,10.3,
C25,31.1,7.8,
C32,43.6,51.7,
C33,40.6,51.7,
C40,45,14,
D1,16.4,43.5,
FB2,31.1,12.1,
FB3,31.11,5.94,
FET1,59.4,20.5,
ISP,43.8,64.2,
JP5,35,53.5,
JP6,35,16.5,
JST_CONN,24.2,9.4,
L3,34.7,15.8,
L01,22,53.2,
L02,34.7,61.3,
LED,64.2,50,
MARK1,17,9,
MARK2,33,67,
MARK3,65,35,
MCU,43.8,55.4,
R1,60.5,35,
R6,29.5,51.7,
R02,29.5,53.1,
R03,30.6,54.4,
R04,34.8,54.4,
R05,34.8,56.8,
R07,34.8,55.6,
R08,34.8,58,
R20,38.7,4,
R21,41.9,8.3,
R22,39.4,10.9,
R23,36,10.7,
R24,36,5.7,
R30,47.3,52,
R31,62,50,
R40,31.6,17.6,
SPKR_PLACE,35,35,
SW1,52.8,59.9,
TP1,10.6,44.6,
TP2,60.5,35,
TP3,60.5,30,
TP4,37.9,17.7,
TP5,37,61,
TP6,30.3,15.2,
TP7,28.8,2.7,
TP8,50,61,
TP9,53,61,
TP10,50,64,
TP11,37,67,
TP12,37,64,
TP13,39,68,
TP14,66,24.5,
TP15,66,45.5,
TP16,53,27,
TP17,48,33,
U1,26.9,56.9,
X1,27.2,64.58,
