Part name,xpos,ypos,
AMP,36,8.1,
ANT_MOUNT,9.5,35,
C1,29.01,59.6,
C2,24.7,59.6,
C3,30.24,58.03,
C5,24.6,52.7,
C8,34.2,51.7,
C10,24.7,61.3,
C11,29,61.3,
C14,24.6,54,
C20,41.9,5.9,
C21,41.9,7.1,
C22,39.2,11.9,
C23,31.1,9.1,
C24,31.1,10.3,
C25,31.1,7.8,
C32,43.6,51.7,
C33,40.6,51.7,
C40,45,14,
D1,16.4,43.5,
FB2,31.1,12.1,
FB3,31.11,5.94,
FET1,59.4,20.5,
ISP,43.8,64.2,
JP5,35,53.5,
JP6,35,16.5,
L1,22,53.2,
L02,34.7,61.3,
L03,34.4,14,
LED,64.2,50,
MARK1,16.2,8.5,
MARK2,33,67,
MARK3,67,35,
MCU,43.8,55.4,
R1,60.5,35,
R2,29.5,53.1,
R3,30.6,54.4,
R4,34.8,54.4,
R5,34.8,56.8,
R6,29.5,51.7,
R7,34.8,55.6,
R8,34.8,58,
R20,36,4.4,
R21,41.7,8.7,
R22,39.2,10.7,
R23,36,10.7,
R24,36,5.7,
R30,47.3,52,
R31,62,50,
R40,31.6,17.6,
SPKR_PLACE,35,35,
SPKR_PLUG,22.4,9.6,
SW1,52.8,59.9,
T1,10.6,44.6,
T2,60,35,
T3,60,30,
T4,60,40,
T5,34,64,
T6,19,6,
T7,28,5,
T8,51,63,
T9,54,62,
T10,49,64,
T11,37,67,
T12,37,64,
T13,39,68,
T14,66,24.5,
T15,66,45.5,
T16,53,27,
T17,48,37,
U1,26.9,56.9,
X1,27.2,64.58,
