"Part";"Value";"Device";"Package";"Description";"CURRENT";"DCR";"MFG_PN";"POWER";"TOL";"VOLTAGE";
"AMP";"";"TPA6203A1";"8-MSOP";"IC AMP AUDIO PWR 1.25W AB 8MSOP";"";"";"TPA6203A1DGNR";"";"";"";
"ANT_MOUNT";"DNP";"M3_PEMNUT";"PEM_M3";"";"";"";"";"";"";"";
"C1";"22nF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10B223KB8NNNC";"";"10%";"16V";
"C2";"22nF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10B223KB8NNNC";"";"10%";"16V";
"C3";".1uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10B104KB8SFNC";"";"10%";"16V";
"C8";"1uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10B105KP8NNNC";"";"10%";"10V";
"C10";"22pF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"C1608C0G1H220J080AA";"";"5%";"50V";
"C11";"22pF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"C1608C0G1H220J080AA";"";"5%";"50V";
"C14";"47pF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10C470JB8NCNC";"";"5%";"50V";
"C20";".22uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"C1608X7R1C224K080AC";"";"10%";"16V";
"C21";".22uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"C1608X7R1C224K080AC";"";"10%";"16V";
"C22";".22uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"C1608X7R1C224K080AC";"";"10%";"16V";
"C23";".1uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10B104KB8SFNC";"";"10%";"16V";
"C24";"1uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10B105KP8NNNC";"";"10%";"10V";
"C25";"10uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10A106MQ8NNNC";"";"20%";"6.3V";
"C32";"10uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10A106MQ8NNNC";"";"20%";"6.3V";
"C33";".1uF";"C_SMT_0603_CPL";"0603_CPL";"SMT capacitor";"";"";"CL10B104KB8SFNC";"";"10%";"16V";
"C40";"220uF";"NICHICON_SERIESUD";"NICHICON_UD_63";"Nichicon UD Series 220uf Cap";"";"";"UUD1C221MCL1GS";"";"20%";"16V";
"D1";"";"BAV99";"SOT23_CPL";"DIODE ARRAY GP 100V 215MA SOT23";"";"";"BAV99,215";"";"";"";
"FET1";"";"AO3435";"SOT23_CPL";"MOSFET P-CH 20V 2.9A SOT23";"";"";"AO3435";"";"";"";
"ISP";"";"AVR_SPI_PRG_6NS";"2X3-NS";"DIL VERTICAL PC TAIL PIN HEADER";"";"";"M20-9980346";"";"";"";
"JP5";"";"BK-92_MPD_AA_BATT_CLIP";"BK92_AA_BATT";"Thru hole AA battery clip pair.";"";"";"2 of BK92 - supplied by CL Labs";"";"";"";
"JP6";"";"BK-92_MPD_AA_BATT_CLIP";"BK92_AA_BATT";"Thru hole AA battery clip pair.";"";"";"2 of BK92 - supplied by CL Labs";"";"";"";
"L1";"180nH";"L_SMT_0805_ADAFRUIT";"0805_ADAFRUIT";"SMT inductor";"400mA";"640m";"AISC-0805-R18J-T";"";"5%";"";
"L02";"2.2k@100MHz";"L_SMT_0603_CPL";"0603_CPL";"SMT inductor";"150mA";"2.3";"HZ0603A222R-10";"";"";"";
"L03";"2.2k@100MHz";"L_SMT_0603_CPL";"0603_CPL";"SMT inductor";"150mA";"2.3";"HZ0603A222R-10";"";"";"";
"LED";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"LY R976-PS-36";"";"";"";
"MARK1";"";"FIDUCIAL";"FIDUCIAL_1MM";"1mm fiducial.";"";"";"DNP";"";"";"";
"MARK2";"";"FIDUCIAL";"FIDUCIAL_1MM";"1mm fiducial.";"";"";"DNP";"";"";"";
"MARK3";"";"FIDUCIAL";"FIDUCIAL_1MM";"1mm fiducial.";"";"";"DNP";"";"";"";
"MCU";"";"ATTINY45TINY45-20-SMT";"8-SOIC";"Atmel 8-pin 2/4/8kB flash uC";"";"";"ATTINY45-20SUR";"";"";"";
"R1";"";"RV170SF_TAIWANA_POT_SW";"RV170SF_SW_POT";"Thru hole switched potentiometer.";"";"";"RV170SF-43-20F-A10K - supplied by CL Labs";"";"";"";
"R2";"330";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"MCR03ERTJ331";"1/10W";"5%";"";
"R3";"4.7K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3EKF4701V";"1/10W";"1%";"";
"R4";"330";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"MCR03ERTJ331";"1/10W";"5%";"";
"R5";"330";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"MCR03ERTJ331";"1/10W";"5%";"";
"R6";"10K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3GEYJ103V";"1/10W";"5%";"";
"R7";"4.7K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3EKF4701V";"1/10W";"1%";"";
"R8";"4.7K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3EKF4701V";"1/10W";"1%";"";
"R20";"10K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3GEYJ103V";"1/10W";"5%";"";
"R21";"12K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"RC0603FR-0712KL";"1/10W";"1%";"";
"R22";"12K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"RC0603FR-0712KL";"1/10W";"1%";"";
"R23";"100K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3EKF1003V";"1/10W";"1%";"";
"R24";"100K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3EKF1003V";"1/10W";"1%";"";
"R25";"0 ohm";"R_SMT_0805_ADAFRUIT";"0805_ADAFRUIT";"SMT resistor";"";"";"ERJ-6GEY0R00V ";"";"";"";
"R26";"0 ohm";"R_SMT_0805_ADAFRUIT";"0805_ADAFRUIT";"SMT resistor";"";"";"ERJ-6GEY0R00V ";"";"";"";
"R30";"10K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3GEYJ103V";"1/10W";"5%";"";
"R31";"1K";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3EKF1001V";"1/10W";"1%";"";
"R40";"DNP";"R_SMT_R0603_CPL";"0603_CPL";"SMT resistor";"";"";"ERJ-3GEY0R00V";"";"";"";
"SPKR_PLACE";"DNP";"PR9024_SPKR";"PR2024_SPKR_PLACE";"";"";"";"";"";"";"";
"SW1";"";"C&K_PTS645";"C&K_PTS645_SMT";"SWITCH TACTILE SPST-NO 0.05A 12V";"";"";"PTS645SM43SMTR92 LFS";"";"";"";
"T1";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T2";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T3";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T4";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T5";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T6";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T7";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T8";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T9";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T10";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T11";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T12";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T13";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T14";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T15";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T16";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"T17";"";"TPTP20R";"TP20R";"Test pad";"";"";"DNP";"";"";"";
"U1";"";"SI4702-C19-GMR";"SI470X_20_QFN";"IC FM RADIO TUNER 20-QFN";"";"";"Si4702 C19 GM - supplied by CL Labs";"";"";"";
"X1";"";"ABS25XTAL";"4-SOJ";"4PIN 32.768 Xtal";"";"";"ABS25-32.768KHZ-T";"";"";"";
