Part name,xpos,ypos,
AMP,34.1,10.2,
ANT_MOUNT,9.5,35,
C1,29.01,59.6,
C2,24.7,59.6,
C3,30.24,58.03,
C8,34.2,51.7,
C10,24.7,61.3,
C11,29,61.3,
C14,24.7,54,
C20,31.8,4,
C21,35.5,2.2,
C22,38.5,7,
C23,34.5,15.1,
C24,36.5,15.1,
C25,32.5,15.1,
C32,42,52.3,
C33,40.2,52.3,
C40,45.7,12.2,
D1,16.4,43.5,
FET1,59.4,20.5,
ISP,43.8,64.2,
JP5,35,53.5,
JP6,35,16.5,
L1,22,53.2,
L02,34.7,61.3,
L03,40,11.8,
LED,64.2,50,
MARK1,16.2,8.5,
MARK2,33,67,
MARK3,67,35,
MCU,43.7,56.4,
R1,60.5,35,
R2,29.5,53.1,
R3,30.6,54.4,
R4,34.8,54.4,
R5,34.8,56.8,
R6,29.5,51.7,
R7,34.8,55.6,
R8,34.8,58,
R20,29.9,10.2,
R21,35.5,4,
R22,36.7,7,
R23,36.7,10.2,
R24,31.7,10.2,
R25,38.6,15.1,
R26,30.4,15.1,
R30,45.4,53,
R31,62,50,
R40,24.2,15.3,
SPKR_PLACE,35,35,
SW1,52.8,59.9,
T1,10.6,44.6,
T2,60,35,
T3,60,30,
T4,60,40,
T5,34,64,
T6,37,21,
T7,32,21,
T8,51,63,
T9,54,62,
T10,49,64,
T11,37,67,
T12,37,64,
T13,39,68,
T14,66,24.5,
T15,66,45.5,
T16,53,27,
T17,48,37,
U1,26.9,56.9,
X1,27.2,64.58,
